date,hbar-in-eur
02.08.2023,0.047076
04.08.2023,0.048826
01.09.2023,0.048347
20.09.2023,0.047840
01.10.2023,0.047059
02.10.2023,0.048067
20.10.2023,0.043267
25.10.2023,0.048562
31.10.2023,0.050640
10.11.2023,0.056062
13.11.2023,0.058270
15.11.2023,0.053858
17.11.2023,0.056185
01.12.2023,0.055387
06.12.2023,0.061327
07.12.2023,0.064006
21.12.2023,0.079485
01.01.2024,0.077883
03.01.2024,0.088663
29.01.2024,0.067695
01.02.2024,0.064316
06.02.2024,0.064692
15.02.2024,0.076939
19.02.2024,0.083064
01.03.2024,0.105996
07.03.2024,0.115529
01.04.2024,0.107230
24.04.2024,0.146905
01.05.2024,0.087968
01.06.2024,0.092213
03.06.2024,0.091399
18.06.2024,0.074925
19.06.2024,0.072301
20.06.2024,0.074954
21.06.2024,0.075043